user_id,signup_date,plan_type,channel
260,2023-02-22,free,doctor
261,2023-01-05,free,referral
262,2023-02-18,premium,ads
263,2023-02-04,free,ads
264,2023-02-19,free,referral
265,2023-01-09,premium,doctor
266,2023-01-09,premium,ads
267,2023-02-12,free,referral
268,2023-01-31,premium,doctor
269,2023-03-02,free,doctor
270,2023-02-05,free,ads
271,2023-01-11,premium,organic
272,2023-01-17,premium,organic
273,2023-02-03,premium,ads
274,2023-02-25,premium,doctor
275,2023-02-08,free,ads
276,2023-01-28,free,referral
277,2023-01-14,premium,organic
278,2023-03-01,free,referral
279,2023-02-04,premium,ads
280,2023-02-18,premium,ads
281,2023-02-16,premium,doctor
282,2023-02-14,free,doctor
283,2023-01-13,free,doctor
284,2023-02-15,free,referral
285,2023-01-20,free,doctor
286,2023-01-26,free,ads
287,2023-02-12,free,doctor
288,2023-02-11,free,organic
289,2023-01-24,free,doctor
290,2023-01-29,free,referral
291,2023-02-27,free,organic
292,2023-02-03,free,organic
293,2023-01-29,premium,organic
294,2023-01-08,free,referral
295,2023-01-16,free,ads
296,2023-01-15,free,doctor
297,2023-01-05,premium,organic
298,2023-01-22,free,organic
299,2023-01-02,free,organic
300,2023-02-07,free,ads
301,2023-02-05,free,ads
302,2023-01-15,free,referral
303,2023-02-07,free,ads
304,2023-01-15,free,doctor
305,2023-01-01,premium,referral
306,2023-01-05,premium,referral
307,2023-02-15,free,doctor
308,2023-02-10,free,doctor
309,2023-01-04,premium,doctor
310,2023-01-15,free,referral
311,2023-01-05,free,referral
312,2023-02-27,free,referral
313,2023-01-03,free,doctor
314,2023-02-25,premium,doctor
315,2023-01-22,premium,organic
316,2023-01-05,free,ads
317,2023-02-02,free,organic
318,2023-01-16,free,doctor
319,2023-01-18,free,referral
320,2023-02-12,free,doctor
321,2023-02-01,free,ads
322,2023-01-14,premium,organic
323,2023-02-04,free,organic
324,2023-01-09,free,referral
325,2023-02-16,premium,organic
326,2023-03-01,premium,organic
327,2023-02-26,free,doctor
328,2023-02-06,free,organic
329,2023-02-06,free,organic
330,2023-01-31,free,organic
331,2023-01-16,free,referral
332,2023-02-20,premium,referral
333,2023-01-31,free,doctor
334,2023-02-21,free,organic
335,2023-01-27,free,referral
336,2023-01-13,free,referral
337,2023-01-07,premium,doctor
338,2023-01-07,premium,ads
339,2023-02-12,free,organic
340,2023-01-28,free,referral
341,2023-01-23,free,doctor
342,2023-01-28,free,doctor
343,2023-01-27,free,doctor
344,2023-01-30,free,referral
345,2023-02-25,free,organic
346,2023-02-16,free,ads
347,2023-01-04,free,organic
348,2023-02-13,free,doctor
349,2023-02-11,free,doctor
350,2023-02-11,free,ads
351,2023-01-07,free,organic
352,2023-01-04,premium,doctor
353,2023-01-26,free,doctor
354,2023-02-16,free,organic
355,2023-01-22,free,doctor
356,2023-02-21,free,organic
357,2023-02-25,free,doctor
358,2023-01-07,free,organic
359,2023-01-16,premium,ads
360,2023-01-13,free,doctor
361,2023-01-13,free,ads
362,2023-02-04,free,doctor
363,2023-01-29,free,doctor
364,2023-01-09,free,referral
365,2023-01-28,premium,organic
366,2023-01-12,free,ads
367,2023-01-18,premium,ads
368,2023-01-30,premium,ads
369,2023-01-16,free,organic
370,2023-02-25,free,referral
371,2023-03-01,free,ads
372,2023-01-05,free,organic
373,2023-01-29,free,doctor
374,2023-02-21,free,ads
375,2023-02-25,free,ads
376,2023-02-24,free,referral
377,2023-02-05,premium,ads
378,2023-01-07,free,ads
379,2023-01-04,premium,doctor
380,2023-02-11,free,organic
381,2023-02-04,free,organic
382,2023-02-23,free,referral
383,2023-01-01,free,doctor
384,2023-01-06,premium,organic
385,2023-03-01,premium,doctor
386,2023-02-18,premium,organic
387,2023-02-24,free,doctor
388,2023-01-16,free,referral
389,2023-01-11,premium,ads
390,2023-01-27,premium,referral
391,2023-02-01,premium,organic
392,2023-01-31,free,referral
393,2023-01-14,free,ads
394,2023-02-25,premium,referral
395,2023-01-26,free,organic
396,2023-02-27,premium,organic
397,2023-01-04,premium,referral
398,2023-01-11,free,ads
399,2023-01-25,premium,referral
400,2023-01-01,premium,ads
401,2023-01-25,free,doctor
402,2023-01-17,premium,ads
403,2023-03-01,free,doctor
404,2023-02-20,premium,referral
405,2023-02-20,free,ads
406,2023-01-30,premium,doctor
407,2023-01-19,free,doctor
408,2023-01-28,free,doctor
409,2023-02-14,premium,organic
410,2023-02-16,free,referral
411,2023-02-20,free,doctor
412,2023-02-05,premium,ads
413,2023-02-12,premium,doctor
414,2023-02-15,free,organic
415,2023-02-01,free,referral
416,2023-01-10,free,organic
417,2023-01-13,free,organic
418,2023-01-19,free,organic
419,2023-01-14,free,ads
420,2023-01-04,premium,referral
421,2023-02-07,premium,referral
422,2023-02-17,premium,ads
423,2023-02-04,free,referral
424,2023-01-04,free,organic
425,2023-02-17,free,referral
426,2023-01-21,free,ads
427,2023-01-04,free,organic
428,2023-01-04,premium,ads
429,2023-02-07,free,doctor
430,2023-01-31,free,organic
431,2023-02-02,free,organic
432,2023-02-28,premium,referral
433,2023-02-24,free,organic
434,2023-02-03,free,ads
435,2023-01-11,free,referral
436,2023-01-04,premium,doctor
437,2023-02-02,free,ads
438,2023-01-06,premium,doctor
439,2023-02-24,premium,doctor
440,2023-01-12,free,doctor
441,2023-01-05,free,organic
442,2023-02-08,premium,ads
443,2023-01-05,free,ads
444,2023-02-13,free,organic
445,2023-02-25,premium,referral
446,2023-01-16,premium,doctor
447,2023-01-26,premium,ads
448,2023-01-08,premium,organic
449,2023-03-02,free,doctor
450,2023-02-26,free,referral
451,2023-02-06,premium,referral
452,2023-01-16,free,doctor
453,2023-02-07,free,referral
454,2023-02-08,premium,ads
455,2023-01-03,free,ads
456,2023-02-09,free,ads
457,2023-01-06,free,referral
458,2023-01-27,free,ads
459,2023-02-12,free,organic
460,2023-02-07,free,ads
461,2023-02-06,free,ads
462,2023-02-03,free,referral
463,2023-01-21,premium,ads
464,2023-03-01,free,doctor
465,2023-01-17,premium,organic
466,2023-01-14,free,referral
467,2023-02-12,free,organic
468,2023-02-15,premium,doctor
469,2023-01-21,free,referral
470,2023-01-16,premium,referral
471,2023-01-17,free,ads
472,2023-01-26,premium,organic
473,2023-01-09,free,doctor
474,2023-02-12,premium,doctor
475,2023-02-11,free,referral
476,2023-01-20,premium,ads
477,2023-01-30,free,referral
478,2023-01-21,free,referral
479,2023-03-01,premium,referral
480,2023-02-18,free,referral
481,2023-03-01,free,doctor
482,2023-01-05,free,doctor
483,2023-01-01,free,referral
484,2023-01-30,free,referral
485,2023-02-09,free,ads
486,2023-02-06,premium,referral
487,2023-01-07,free,doctor
488,2023-01-05,free,organic
489,2023-02-04,premium,doctor
490,2023-01-14,premium,ads
491,2023-02-02,free,doctor
492,2023-01-17,free,organic
493,2023-01-09,free,referral
494,2023-03-01,free,organic
495,2023-01-23,free,referral
496,2023-02-26,free,referral
497,2023-01-05,free,doctor
498,2023-02-26,free,doctor
499,2023-01-16,premium,doctor
500,2023-01-24,premium,ads
501,2023-01-19,free,doctor
502,2023-01-11,free,ads
503,2023-01-29,free,doctor
504,2023-02-23,premium,referral
505,2023-02-04,free,ads
506,2023-02-15,free,organic
507,2023-01-20,premium,ads
508,2023-02-09,premium,ads
509,2023-02-21,premium,organic
510,2023-02-11,premium,ads
511,2023-02-03,free,referral
512,2023-01-01,free,doctor
513,2023-02-12,premium,organic
514,2023-02-22,premium,doctor
515,2023-02-05,free,referral
516,2023-01-20,free,organic
517,2023-03-01,free,doctor
518,2023-02-12,premium,doctor
519,2023-01-07,premium,referral
520,2023-03-02,free,doctor
521,2023-02-26,free,referral
522,2023-01-09,free,ads
523,2023-01-17,premium,referral
524,2023-01-08,premium,ads
525,2023-02-26,premium,organic
526,2023-01-07,free,doctor
527,2023-02-17,free,referral
528,2023-02-05,free,referral
529,2023-01-10,free,doctor
530,2023-01-18,premium,doctor
531,2023-01-19,premium,organic
532,2023-02-08,premium,organic
533,2023-01-14,premium,referral
534,2023-02-15,free,organic
535,2023-01-22,premium,ads
536,2023-01-14,premium,organic
537,2023-02-13,premium,organic
538,2023-02-10,free,referral
539,2023-02-24,free,ads
540,2023-01-17,free,organic
541,2023-02-02,premium,ads
542,2023-02-01,free,ads
543,2023-01-17,free,ads
544,2023-02-27,free,doctor
545,2023-02-28,free,doctor
546,2023-02-24,free,doctor
547,2023-01-04,free,doctor
548,2023-01-06,free,referral
549,2023-02-10,free,organic
550,2023-01-28,premium,doctor
551,2023-02-23,free,referral
552,2023-01-18,premium,organic
553,2023-01-03,free,doctor
554,2023-01-01,free,organic
555,2023-01-22,premium,doctor
556,2023-02-19,free,referral
557,2023-01-09,free,ads
558,2023-02-10,free,ads
559,2023-01-17,premium,organic
560,2023-01-11,free,referral
561,2023-02-17,premium,ads
562,2023-01-29,free,doctor
563,2023-02-05,free,ads
564,2023-02-15,free,organic
565,2023-01-28,free,organic
566,2023-02-05,free,referral
567,2023-01-01,free,organic
568,2023-01-08,free,ads
569,2023-01-05,premium,ads
570,2023-03-02,free,ads
571,2023-02-26,free,ads
572,2023-02-14,premium,referral
573,2023-02-27,free,doctor
574,2023-01-10,free,doctor
575,2023-02-04,premium,referral
576,2023-01-03,premium,organic
577,2023-02-23,free,doctor
578,2023-01-24,premium,organic
579,2023-02-07,free,doctor
580,2023-02-05,free,organic
581,2023-01-10,free,referral
582,2023-01-28,premium,ads
583,2023-01-09,free,organic
584,2023-01-03,free,ads
585,2023-01-20,free,organic
586,2023-01-24,free,organic
587,2023-02-27,free,organic
588,2023-03-01,free,organic
589,2023-02-20,free,organic
590,2023-02-25,free,ads
591,2023-01-03,free,organic
592,2023-02-27,free,ads
593,2023-01-23,free,referral
594,2023-01-14,free,doctor
595,2023-02-13,premium,organic
596,2023-01-16,free,doctor
597,2023-02-12,free,ads
598,2023-01-07,free,referral
599,2023-01-23,free,referral
600,2023-02-19,free,referral
601,2023-02-05,free,doctor
602,2023-02-26,free,ads
603,2023-02-25,free,organic
604,2023-01-27,free,organic
605,2023-02-09,free,ads
606,2023-02-17,free,doctor
607,2023-01-10,free,organic
608,2023-03-01,free,ads
609,2023-03-01,free,organic
610,2023-01-16,free,referral
611,2023-02-25,free,organic
612,2023-01-11,premium,doctor
613,2023-02-21,free,ads
614,2023-02-21,free,doctor
615,2023-01-12,premium,ads
616,2023-02-26,premium,referral
617,2023-01-27,free,ads
618,2023-01-02,free,organic
619,2023-01-12,premium,organic
620,2023-02-17,premium,referral
621,2023-03-01,free,ads
622,2023-01-22,free,referral
623,2023-02-20,free,organic
624,2023-03-01,free,doctor
625,2023-01-27,free,referral
626,2023-02-21,free,doctor
627,2023-02-12,free,doctor
628,2023-02-25,premium,ads
629,2023-02-17,free,referral
630,2023-02-21,free,doctor
631,2023-01-16,premium,doctor
632,2023-01-18,premium,ads
633,2023-01-11,free,ads
634,2023-02-20,free,organic
635,2023-02-14,free,doctor
636,2023-01-07,free,organic
637,2023-01-25,free,doctor
638,2023-02-25,free,organic
639,2023-01-03,free,ads
640,2023-02-24,free,referral
641,2023-01-31,free,ads
642,2023-01-15,free,organic
643,2023-01-13,free,organic
644,2023-02-22,free,referral
645,2023-02-28,free,doctor
646,2023-01-30,premium,organic
647,2023-01-23,free,organic
648,2023-01-20,free,organic
649,2023-02-22,premium,referral
650,2023-02-20,free,ads
651,2023-02-25,free,organic
652,2023-01-15,free,referral
653,2023-01-15,free,organic
654,2023-01-02,premium,doctor
655,2023-02-12,free,referral
656,2023-01-13,free,organic
657,2023-01-26,free,referral
658,2023-01-22,free,organic
659,2023-01-18,free,ads
660,2023-02-25,free,organic
661,2023-01-05,free,referral
662,2023-02-19,premium,doctor
663,2023-01-18,free,doctor
664,2023-01-23,free,doctor
665,2023-02-11,free,organic
666,2023-02-02,free,ads
667,2023-01-26,free,organic
668,2023-02-13,free,doctor
669,2023-02-23,free,referral
670,2023-02-04,free,doctor
671,2023-01-22,free,referral
672,2023-03-02,premium,ads
673,2023-01-02,free,referral
674,2023-01-08,free,organic
675,2023-02-26,free,organic
676,2023-01-17,premium,organic
677,2023-01-12,free,referral
678,2023-02-07,free,organic
679,2023-01-17,premium,organic
680,2023-01-03,premium,organic
681,2023-01-07,premium,ads
682,2023-02-08,free,referral
683,2023-01-28,free,referral
684,2023-01-23,free,doctor
685,2023-02-16,premium,referral
686,2023-02-20,free,ads
687,2023-01-21,free,referral
688,2023-01-28,free,ads
689,2023-02-08,premium,ads
690,2023-02-02,free,referral
691,2023-01-08,free,doctor
692,2023-01-25,free,organic
693,2023-02-27,free,organic
694,2023-02-06,free,referral
695,2023-01-13,free,referral
696,2023-01-17,free,ads
697,2023-01-03,free,referral
698,2023-02-15,free,ads
699,2023-01-28,free,doctor
700,2023-01-01,free,referral
701,2023-02-03,free,organic
702,2023-03-01,free,organic
703,2023-02-21,free,referral
704,2023-02-04,free,ads
705,2023-02-13,free,organic
706,2023-02-16,premium,ads
707,2023-03-02,free,referral
708,2023-02-17,premium,referral
709,2023-02-17,free,organic
710,2023-02-12,free,referral
711,2023-01-13,premium,doctor
712,2023-01-24,free,doctor
713,2023-01-28,free,organic
714,2023-01-05,free,doctor
715,2023-03-02,free,ads
716,2023-02-12,premium,organic
717,2023-02-28,premium,organic
718,2023-01-22,premium,ads
719,2023-02-09,free,doctor
720,2023-01-21,premium,doctor
721,2023-02-12,premium,doctor
722,2023-02-24,free,organic
723,2023-01-08,free,organic
724,2023-02-16,premium,doctor
725,2023-02-27,free,referral
726,2023-01-20,premium,doctor
727,2023-02-02,free,ads
728,2023-01-20,premium,organic
729,2023-02-12,free,ads
730,2023-01-27,free,ads
731,2023-01-21,free,organic
732,2023-01-26,premium,referral
733,2023-02-14,free,doctor
734,2023-01-19,free,ads
735,2023-02-05,free,organic
736,2023-01-09,premium,ads
737,2023-01-13,free,doctor
738,2023-01-27,premium,referral
739,2023-02-12,free,referral
740,2023-03-02,free,referral
741,2023-01-25,free,organic
742,2023-02-13,free,organic
743,2023-02-17,premium,referral
744,2023-02-27,free,doctor
745,2023-01-12,free,doctor
746,2023-02-09,premium,organic
747,2023-02-06,free,referral
748,2023-01-20,free,doctor
749,2023-01-26,premium,doctor
750,2023-02-05,free,doctor
751,2023-02-23,free,organic
752,2023-01-01,premium,referral
753,2023-01-20,free,ads
754,2023-01-19,free,referral
755,2023-01-14,free,referral
756,2023-01-28,premium,organic
757,2023-02-20,free,doctor
758,2023-02-07,free,doctor
759,2023-02-08,premium,organic
760,2023-02-11,premium,organic
761,2023-01-21,free,organic
762,2023-01-30,free,organic
763,2023-01-29,free,organic
764,2023-01-29,premium,ads
765,2023-02-13,free,referral
766,2023-01-14,free,referral
767,2023-02-02,premium,referral
768,2023-01-31,premium,doctor
769,2023-02-20,free,ads
770,2023-02-27,premium,referral
771,2023-02-20,free,doctor
772,2023-02-17,premium,ads
773,2023-01-11,free,ads
774,2023-02-12,free,doctor
775,2023-01-06,premium,ads
776,2023-01-19,free,doctor
777,2023-02-02,free,referral
778,2023-02-12,premium,doctor
779,2023-02-10,premium,ads
780,2023-02-09,free,referral
781,2023-01-22,free,referral
782,2023-01-06,free,organic
783,2023-02-22,free,organic
784,2023-03-02,free,ads
785,2023-02-18,free,doctor
786,2023-01-16,premium,doctor
787,2023-02-13,free,ads
788,2023-01-20,free,referral
789,2023-01-15,free,ads
790,2023-02-21,premium,ads
791,2023-01-13,free,referral
792,2023-01-10,free,doctor
793,2023-01-02,free,ads
794,2023-01-03,free,doctor
795,2023-01-16,free,ads
796,2023-01-31,premium,referral
797,2023-02-09,premium,referral
798,2023-02-24,free,organic
799,2023-02-19,free,referral
800,2023-01-05,premium,organic
801,2023-01-30,premium,ads
802,2023-01-27,free,doctor
803,2023-02-26,free,referral
804,2023-02-10,free,referral
805,2023-02-06,free,referral
806,2023-01-13,premium,ads
807,2023-02-15,premium,organic
808,2023-02-14,premium,ads
809,2023-01-25,free,doctor
810,2023-02-01,free,ads
811,2023-01-26,premium,doctor
812,2023-01-16,premium,referral
813,2023-01-10,free,doctor
814,2023-02-11,premium,doctor
815,2023-02-14,premium,organic
816,2023-01-01,free,doctor
817,2023-02-27,free,doctor
818,2023-02-18,free,ads
819,2023-02-25,free,referral
820,2023-02-19,free,ads
821,2023-02-26,premium,ads
822,2023-01-07,free,referral
823,2023-02-19,free,referral
824,2023-01-28,free,doctor
825,2023-01-15,free,doctor
826,2023-01-12,premium,organic
827,2023-02-21,free,ads
828,2023-02-14,free,referral
829,2023-02-03,premium,doctor
830,2023-01-30,free,referral
831,2023-01-04,free,doctor
832,2023-02-05,free,organic
833,2023-01-16,free,organic
834,2023-02-28,free,referral
835,2023-02-24,free,organic
836,2023-01-08,free,referral
837,2023-01-30,premium,doctor
838,2023-01-09,free,ads
839,2023-02-21,free,organic
840,2023-01-30,free,doctor
841,2023-02-12,free,ads
842,2023-02-03,free,ads
843,2023-02-05,free,ads
844,2023-02-08,premium,doctor
845,2023-01-21,free,doctor
846,2023-03-02,free,referral
847,2023-02-18,free,ads
848,2023-02-27,premium,ads
849,2023-01-29,free,ads
850,2023-02-09,free,referral
851,2023-02-22,free,ads
852,2023-02-16,premium,doctor
853,2023-02-27,free,ads
854,2023-02-02,premium,organic
855,2023-01-28,free,doctor
856,2023-02-23,free,referral
857,2023-02-28,free,ads
858,2023-02-05,free,organic
859,2023-01-29,free,referral
860,2023-02-27,free,referral
861,2023-01-11,premium,doctor
862,2023-02-17,free,referral
863,2023-02-25,free,referral
864,2023-01-31,free,referral
865,2023-01-29,free,referral
866,2023-01-17,free,ads
867,2023-02-18,free,ads
868,2023-01-16,free,ads
869,2023-02-23,premium,ads
870,2023-02-10,premium,organic
871,2023-01-18,free,ads
872,2023-02-19,free,referral
873,2023-02-19,free,ads
874,2023-02-03,free,ads
875,2023-02-01,free,doctor
876,2023-02-10,free,referral
877,2023-01-16,premium,ads
878,2023-01-18,free,ads
879,2023-01-29,free,ads
880,2023-01-05,free,organic
881,2023-02-15,free,ads
882,2023-01-19,free,doctor
883,2023-01-16,free,referral
884,2023-01-18,free,referral
885,2023-01-22,premium,ads
886,2023-01-21,free,ads
887,2023-02-27,free,ads
888,2023-02-04,free,referral
889,2023-01-06,free,referral
890,2023-01-09,free,organic
891,2023-01-10,premium,doctor
892,2023-01-15,premium,organic
893,2023-01-25,premium,doctor
894,2023-02-14,free,organic
895,2023-01-10,free,referral
896,2023-02-15,free,organic
897,2023-01-14,free,doctor
898,2023-01-05,premium,ads
899,2023-01-27,free,doctor
900,2023-01-27,free,ads
901,2023-01-22,free,referral
902,2023-02-04,free,doctor
903,2023-01-30,free,organic
904,2023-01-27,free,doctor
905,2023-01-04,free,ads
906,2023-01-14,premium,referral
907,2023-02-23,premium,organic
908,2023-01-27,free,doctor
909,2023-01-25,free,ads
910,2023-02-27,free,organic
911,2023-02-19,free,referral
912,2023-02-07,free,organic
913,2023-03-02,free,referral
914,2023-02-14,free,organic
915,2023-01-02,free,doctor
916,2023-02-24,free,ads
917,2023-02-26,free,doctor
918,2023-02-18,premium,doctor
919,2023-02-06,premium,referral
920,2023-01-25,free,referral
921,2023-01-31,premium,referral
922,2023-01-01,free,doctor
923,2023-03-02,premium,organic
924,2023-01-23,premium,organic
925,2023-01-20,free,doctor
926,2023-02-18,free,doctor
927,2023-01-25,free,ads
928,2023-02-24,free,referral
929,2023-02-27,free,referral
930,2023-02-23,free,doctor
931,2023-01-27,free,doctor
932,2023-02-04,premium,organic
933,2023-02-17,premium,doctor
934,2023-02-17,free,organic
935,2023-02-04,free,doctor
936,2023-02-21,free,ads
937,2023-02-08,free,ads
938,2023-02-27,premium,organic
939,2023-01-15,free,referral
940,2023-02-01,free,ads
941,2023-01-15,free,organic
942,2023-01-18,free,doctor
943,2023-01-28,free,doctor
944,2023-02-01,premium,organic
945,2023-01-02,free,referral
946,2023-01-25,free,organic
947,2023-01-22,free,organic
948,2023-02-12,premium,ads
949,2023-02-13,premium,organic
950,2023-02-21,free,organic
951,2023-01-26,free,doctor
952,2023-02-16,free,ads
953,2023-01-11,free,doctor
954,2023-02-23,premium,doctor
955,2023-01-30,free,referral
956,2023-02-28,free,referral
957,2023-01-09,free,ads
958,2023-02-09,free,ads
959,2023-02-04,free,referral
960,2023-01-02,premium,referral
